000	2023-03-23T20:15:04	495711	I'll do a face reveal at 10,000 dick suckings
690	2023-03-23T20:29:50	495753	You mean you don't just destroy all nature within a 690 km radius around your cities?
200	2023-03-27T22:03:46	497082	Social security really wants me to print out and mail 200 pages. 200 pages
200	2023-03-27T22:03:46	497082	Social security really wants me to print out and mail 200 pages. 200 pages
200	2023-03-27T22:03:49	497083	200 pages
200	2023-03-27T22:03:50	497084	200
110	2023-03-30T21:17:16	497458	I think that's where we are headed. AI could be a better leader than any human 110%
100	2023-03-31T22:39:41	497735	Dopamine depleting 100%
100	2023-04-03T16:41:32	498742	Do you listen to any 100gecs?
369	2023-04-06T20:17:30	499475	I will add his name to the 369 open tabs I have in my browser 👍
300	2023-04-06T20:19:38	499482	No seriously man. The browser on my phone has over 300 open tabs. It's all things I plan to return to eventually but probably never will lol
369	2023-04-06T20:22:51	499496	If you can't handle me at my 369 tabs, you don't deserve me at my 12 💅
308	2023-04-07T06:07:56	499595	My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane Albuquerque New Mexico 87104
360	2023-04-13T19:47:43	501122	At like 360p and 20 fps lol
200	2023-04-25T21:19:56	504052	I need to spend your 200 euro on cosmetics then I'll play well
100	2023-05-02T17:46:15	506069	That one is being slow for me, only 100kbps 😱
019	2023-05-02T17:48:16	506075	magnet:?xt=urn:btih:d4e841464710c0f2962b019a998f7c1faed3a4ad&dn=Waking.Life.2001.1080p.BluRay.Rus.3xEng.HDCLUB.mkv&tr=http%3a%2f%2fbt2.t-ru.org%2fann&tr=http%3a%2f%2fretracker.local%2fannounce
998	2023-05-02T17:48:16	506075	magnet:?xt=urn:btih:d4e841464710c0f2962b019a998f7c1faed3a4ad&dn=Waking.Life.2001.1080p.BluRay.Rus.3xEng.HDCLUB.mkv&tr=http%3a%2f%2fbt2.t-ru.org%2fann&tr=http%3a%2f%2fretracker.local%2fannounce
109	2023-05-03T01:02:19	506719	I know prob only I care but 10 years ago today I started tracking the music I listen to 🕺 109,618 songs from 4,297 artists since then
618	2023-05-03T01:02:19	506719	I know prob only I care but 10 years ago today I started tracking the music I listen to 🕺 109,618 songs from 4,297 artists since then
297	2023-05-03T01:02:19	506719	I know prob only I care but 10 years ago today I started tracking the music I listen to 🕺 109,618 songs from 4,297 artists since then
100	2023-05-05T18:16:04	507239	My apartment has about 69 mirrors in it so it would also be a 1000 subscribers face reveal. But I probably don't care. I already did my 100 subscribers voice reveal with you
200	2023-05-08T23:01:50	508238	That's what I'm learning with music. Okay you have 200 song ideas. But because you haven't been working on planning and execution you have 2 finished songs lol
100	2023-07-30T02:51:21	530310	(100% legit method)(2023)(working)(easy)
300	2023-08-04T14:48:13	531295	You can skip the first 300 because those aren't really relevant to 2077 and the gameplay is kinda boring. But after that is when the story really picks up, so you should try to play at least the next 1000 games because it gives you a lot of necessary lore that you need to understand 2077. Particularly games 1069 and 1420 are pretty critical. You can probably skip games 700 through 850 though because the plot gets weirdly racist and I think they're banned in most countries anyways. But if you're short on time you could probably get away with just the last 500 games or so and you'll probably pick up on whatever you missed by not playing the earlier games
700	2023-08-04T14:48:13	531295	You can skip the first 300 because those aren't really relevant to 2077 and the gameplay is kinda boring. But after that is when the story really picks up, so you should try to play at least the next 1000 games because it gives you a lot of necessary lore that you need to understand 2077. Particularly games 1069 and 1420 are pretty critical. You can probably skip games 700 through 850 though because the plot gets weirdly racist and I think they're banned in most countries anyways. But if you're short on time you could probably get away with just the last 500 games or so and you'll probably pick up on whatever you missed by not playing the earlier games
